0,1,2,3,4,5,article
2384,https://www.zerohedge.com/commodities/wheat-prices-soar-russia-considers-ships-heading-ukraine-carriers-military-cargo,Wheat Prices Soar As Russia Considers Ships Heading To Ukraine As Carriers Of Military Cargo,grain initiative,E0FD4A80607B2F5028248B6E43E40B7B,https://assets.zerohedge.com/s3fs-public/styles/16_9_max_700/public/2023-07/shutterstock2.jpg?b&itok=Iqex31gy,
2482,https://www.whec.com/top-news/construction-on-state-street-impacts-businesses-and-workers-in-the-area/,Construction on State Street impacts businesses and workers in the area,sillick;alvin moore;melvin scott|holiday inn,7845611BA0D98562CA08CABBDD319287,https://www.whec.com/wp-content/uploads/akta/666EB581997C476F1D0F73910495997B.jpg,"ROCHESTER, N.Y. — It’s been more than a year now since reconstruction began in one of Rochester’s busiest intersections. At State and Main streets, century-old water lines are being upgraded, and sidewalks and pavement are getting a new look. But all that work is causing some headaches. While some people say the street reconstruction project is sorely needed, others can’t wait for the project to be completed. It’s had a huge impact on local businesses and the people who work in the area. Alvin Moore works downtown and he has to deal with the construction on a regular basis. “I"
2509,https://news.yahoo.com/white-house-says-russia-preparing-231825185.html,White House says Russia is preparing for attacks on civilian ships in Black Sea,defense ministry;white house national security council,34ED4943C90E5F5B5DC0E292FF4B8B72,https://s.yimg.com/ny/api/res/1.2/f0YUCOocgWj5NwNvwhkXbw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/ap.org/636cb93886cb29022d480cd026e14367,"WASHINGTON (AP) — Days after Russia suspended participation in a wartime deal that allowed grain to flow from Ukraine to countries around the world, the White House on Wednesday warned that the Russian military is preparing for possible attacks on civilian shipping vessels in the Black Sea. Since leaving the Black Sea Grain Deal this week, Russia has already struck Ukraine’s grain export ports in Odesa with missile and drone attacks. Some 60,000 tons of grain were destroyed in the attacks. “Our information indicates that Russia laid additional sea mines in the approaches to Ukrainian ports,” White House National Security"
2563,https://www.dailymail.co.uk/news/article-12317151/Dingo-attacked-woman-jogging-Queensland-beach-killed.html,Dingo that attacked a woman who was jogging on Queensland beach is killed,linard;sarah peet;sarah moffat;shane moffat|wildlife service;a queensland department of environment,B7E731340306F4D34738B734D145658C,https://i.dailymail.co.uk/1s/2023/07/19/23/73406013-0-image-a-5_1689807550349.jpg,"The lead dingo in a pack of four that attacked on a 23-year-old woman jogging on K'gari has been captured and humanely euthanised. Rangers captured the animal, which was about two-years-old, on Wednesday afternoon following Monday's incident in which Brisbane woman Sarah Peet was chased into the water at Orchid Beach. Two fellow visitors in a four-wheel-drive rushed to her aid, Sarah and Shane Moffat who punched the dingoes off her, and she was taken to hospital by helicopter with numerous bites. The lead dingo in a pack of four that attacked a jogger on K'gari has been put down"
2715,https://www.etftrends.com/portfolio-strategies-channel/why-are-investors-allocating-equal-weight-rsp-now/,Why Are Investors Allocating to Equal-Weight RSP Now?,nick kalivas|invesco,859AD1D83C651652147607FAFA1F6761,https://www.etftrends.com/wp-content/uploads/2022/11/Equal-Weight-Tech-Sector-RYT-Returns-10-in-Past-Month-e1669230645214.jpg,"The Invesco S&P 500® Equal Weight ETF (RSP) has seen a tremendous rebound in net flows in recent weeks. Equal-weight strategies effectively remove size bias from a portfolio. This offers more protection if a large company or sector experiences a downturn. Conversely, equal weighting is positioned to lag when a small number of mega-caps contribute most of the performance. As of July 18, RSP has accreted $6.5 billion in net flows since June 1. Year-to-date, the fund has garnered $6.7 billion in net flows. The spike in June flows comes after RSP accreted just $180 million in net flows during"
2844,https://www.mymotherlode.com/news/canada/3177747/canadian-wildfires-hit-indigenous-communities-hard-threatening-their-land-and-culture.html,"Canadian wildfires hit Indigenous communities hard, threatening their land and culture",mcmullen;raymond supernault;amy cardinal christianson;carrol johnston;casey ratt|associated press;indigenous services canada;canadian association of fire chiefs;canadian interagency forest fire centre;canadian forest service,CD298FD790187F1E7C7E602C060C5878,https://www.mymotherlode.com/wp-content/uploads/2023/07/files_c883fa61d0.jpeg, 
4409,https://scrippsnews.com/stories/stanford-president-to-resign-amid-issues-with-his-research/,Stanford president to resign amid issues with his research,curie;jerry yang;marc tessier-lavigne;theo baker;george polk;h holden thorp;richard saller|stanford university;united states;stanford doerr school of sustainability,50621AB5D22E039ADFC3B4D52C9C635B,https://cdn.scrippsnews.com/images/videos/m/1689804444_nN9GPl.jpg,"The president of Stanford University said Wednesday he would resign, citing an independent review that cleared him of research misconduct but found ""serious flaws"" in five scientific papers in which he was the principal author. Marc Tessier-Lavigne said in a statement to students and staff that he would step down Aug. 31. The resignation comes after the board of trustees launched a review in December following allegations he engaged in fraud and other unethical conduct related to his research and papers. Tessier-Lavigne, a neuroscientist, says he ""never submitted a scientific paper without firmly believing that the data were correct and"
4609,https://www.myrecordjournal.com/News/Food-and-Drink/Latin-Chinese-restaurant-La-BoriChina-celebrates-grand-opening-in-Waterbury,Latin-Chinese fusion restaurant La BoriChina celebrates grand opening in Waterbury,reyes jr;yoellie iglesias|madre latina inc;facebook;instagram,14C9CF6286A37D35A5CB470FB5774C12,https://www.myrecordjournal.com/getattachment/1d2b706d-5757-40d4-81dd-084301e013b2/attachment, 
5291,https://www.dailyfx.com/analysis/us-dollar-outlook-gbp-usd-may-fall-as-usd-cad-rises-amid-changes-in-retail-exposure-20230719.html,US Dollar Outlook: GBP/USD May Fall as USD/CAD Rises Amid Changes in Retail Exposure,daniel dubrovsky|sterling,35870F84EFE1BA02B743FE482B0F9A90,https://a.c-dn.net/b/4w1TCK/21246581_H1205681.jpg,"Spread bets and CFDs are complex instruments and come with a high risk of losing money rapidly due to leverage. 69% of retail investor accounts lose money when trading spread bets and CFDs with this provider. You should consider whether you understand how spread bets and CFDs work, and whether you can afford to take the high risk of losing your money. Spread bets and CFDs are complex instruments and come with a high risk of losing money rapidly due to leverage. 69% of retail investor accounts lose money when trading spread bets and CFDs with this provider. You should"
5796,https://www.dailymail.co.uk/news/article-12317821/Georgia-mother-tells-sheer-panic-scammers-used-AI-impersonate-16-year-old-daughters-voice-demand-50K-ransom.html,Georgia mother tells of her sheer panic after scammers used AI to impersonate her 16-year-old daughter's voice and demand $50K ransom,lauren;steve grobman;kamala harris;shelton moore;debbie shelton moore|mcafee,ACEDA0420107CEE49896D03B52C49A7B,https://i.dailymail.co.uk/1s/2023/07/20/04/73411985-0-image-a-28_1689823985478.jpg,"A Georgia mother became the latest to face a shocking AI phone scam, using her 22-year-old daughter's voice saying she'd been kidnapped and demanding a ransom of $50,000 for her safe return. So-called imposter scams, where a fraudster impersonates someone in order to steal money, are the most common scam in the US, causing Americans to lose $2.6 billion in 2022 alone, the Federal Trade Commission reported. Debbie Shelton Moore received a six-minute phone call from what she thought was her daughter Lauren, 22, who lives apart from her. 'It just sounded so much like her. It was 100 percent"
5800,https://www.newindianexpress.com/nation/2023/jul/20/heavy-rains-lash-gujarat-rivers-in-spate-as-dams-put-on-high-alert-2596636.html,"Heavy rains lash Gujarat, rivers in spate as dams put on high alert",veraval;junagadh mangrol|disaster response force;national disaster response force;news service,C823D9865DFB2FB1DC366D26C593A03C,https://images.newindianexpress.com/uploads/user/imagelibrary/2023/7/20/w600X390/NDRF_.jpg,"Monsoon rivers such as the Saraswati and Hiran are overflowing, creating floods in low-lying areas, according to officials. Flooding led many individuals to escape to their rooftops in many villages. Junagadh city and Keshod town in the district were thrown into disarray. Several roads were flooded, and vehicles were stranded in low-lying regions. Teams from the National Disaster Response Force (NDRF), the State Disaster Response Force (SDRF), and local police worked to rescue and relocate individuals in the damaged sections of the district."
5923,https://www.rfi.fr/en/business-and-tech/20230720-markets-mostly-rise-on-rate-hopes-but-china-fears-weigh,Markets mostly rise on rate hopes but China fears weigh,macro research;european central bank;netflix;bloomberg television,C4F232AE10FF4E4DDCE178823CD8AE47,https://s.rfi.fr/media/display/c698cd20-26ab-11ee-94be-005056a90321/w:1280/p:16x9/Part-GTY-1436807394-1-1-0.jpg,"London (AFP) – Stock markets traded mixed Thursday as hopes that central banks are close to ending their interest rate hikes were offset by worries about a lack of action by Chinese leaders to kickstart the country's stuttering economy. Advertising Read more The mood across trading floors has been generally positive of late, with last week's news that US inflation had slowed more than expected coming alongside healthy data suggesting a recession could also be avoided. Sentiment was further boosted this week by data showing UK inflation cooling more than expected. The figures have fanned hopes that the long-running campaign"
6074,https://www.wdio.com/front-page/world-national/protesters-storm-swedish-embassy-in-baghdad-amid-continuing-anger-over-quran-burning/,Protesters storm Swedish Embassy in Baghdad amid continuing anger over Quran burning,hussein;qassim abdul-zahra;eid al-adha;jon gambrell|swedish foreign ministry;foreign ministry;israeli embassy;sadr mahdi army;turkey embassy;swedish embassy;vienna convention;associated press;iraq foreign ministry,BCD34450865F62077D4D26A44A73EDA5,https://www.wdio.com/wp-content/uploads/apimg/2023/07/Iraq_Sweden_35434.jpg, 
6172,https://www.fox35orlando.com/news/legacy-admissions-what-you-should-know-about-the-now-controversial-college-admissions-practice,Legacy admissions: What you should know about the now-controversial college admissions practice,lee;michael dannenberg;tim scott;ted kennedy;viet nguyen;jamaal bowman;david phillips;jeff merkley;johns hopkins;biddy martin|twitter;wesleyan university;associated press;supreme court;pomona college;u s supreme court;national bureau of economic research;university of wisconsin;college pulse;university of florida;california institute of technology;florida state university;university admissions directors;university of southern california;republican party;johns hopkins university;amherst college,4163EE6B0AEB9296743E6381B9C215A2,https://images.foxtv.com/static.fox35orlando.com/www.fox35orlando.com/content/uploads/2023/07/1280/720/b55451ef-GETTY-University-Lecture-Hall-070323.jpg?ve=1&tl=1,"In the aftermath of a U.S. Supreme Court ruling that banned a system known as affirmative action from being used in the college admissions process, the battle is shifting to a system that some have called ""affirmative action for white people."" ""Let’s be clear: affirmative action still exists for white people. It’s called legacy admissions,"" Rep. Barbara Lee, a California Democrat, said on Twitter. ""Now more than ever, there’s no justification for allowing this process to continue,"" said Viet Nguyen, a graduate of Brown and Harvard who leads Ed Mobilizer, a nonprofit that has fought legacy preferences since 2018, in"
6469,https://www.theargus.co.uk/news/23667063.sussex-rail-services-disrupted-latest-rmt-strike/,Sussex rail services to be disrupted by latest RMT strike,express;thameslink;govia thameslink railway,F8D75E15337AECD5F95DE2068E71DAD5,https://www.theargus.co.uk/resources/images/14492382/?type=og-image,"The latest strike action, in an ongoing dispute over pay, will see services start later and finish much earlier than normal. Most services are expected to run between 7am and 7pm, but some stations - namely Plumpton and Cooksbridge, will be closed due to the walkout. Trains that do operate are expected to be very busy, with some passengers not able to board their usual train. Strike action will also take place on Saturday, July 22 and next week. Chris Fowler, head of network operations for Govia Thameslink Railway - which runs Southern, Thameslink and Gatwick Express services, said: “We"
7304,https://ewn.co.za/2023/07/20/millions-hit-by-extreme-heat-on-three-continents,Millions hit by extreme heat on three continents,cucca;pierre-simon laplace;fabrizio carozza;robert vautard;han weili;dimitris michaelous;qiu yichong;carlo buontempo|copernicus climate change service;european union;twitter;national weather service;world health organisation,34AA6FEECB14E7EF84035F5CA9FEAE55,"http://cdn.primedia.co.za/primedia-broadcasting/image/upload/c_fill,h_437,w_700/wyb11dumevfoo3xfq64p", 
7374,https://mb.com.ph/2023/7/20/us-japan-south-korea-to-hold-summit-in-august-seoul,"US, Japan, South Korea to hold summit in August: Seoul",states;yonhap news agency;nuclear consultative group,15283A81882955373A0109708AAC685A,https://storage.googleapis.com/mb-mkt-neo-prod-1-uploads/summit_afp_e1432df933/summit_afp_e1432df933.jpeg, 
8192,https://www.bloomberg.com/news/articles/2023-07-20/serbia-seeks-greater-nato-role-in-kosovo-to-help-ease-tensions,Serbia Seeks Greater NATO Role in Kosovo to Help Ease Tensions,vucic;jens stoltenberg|,D865F02CE715506B8443B3473459A42D,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iWmuVxr5ziM8/v1/1200x800.jpg,"NATO-led peacekeepers should exert more influence in Kosovo to prevent further unrest after recent clashes between protesters and security forces left dozens injured, Serbian President Aleksandar Vucic said. “The only institution that works toward preserving peace and security in Kosovo is KFOR,” Vucic told reporters in Brussels late Wednesday after talks with NATO Secretary General Jens Stoltenberg , referring to the force. “‘I asked for a more significant KFOR role in easing the tensions.”"
8399,https://kost1035.iheart.com/featured/karen-sharp/content/2023-07-19-woman-loses-wedding-ring-in-bass-lake-and-super-diver-finds-it/,Woman Loses Wedding Ring In Bass Lake And Super Diver Finds It | KOST 103.5,youtube;michael pelley;merman mike|yosemite national park;instagram;youtube,253B7F5070798B4B07C8C5B1DF3AE0FD,"https://i.iheart.com/v3/re/assets.getty/62bc739e06a3034715868e38?ops=gravity(%22north%22),fit(1200,675),quality(65)","A woman named Jennie recently lost her $9,500 wedding ring in the depths of Bass Lake, about 14 miles from the south entrance of Yosemite National Park in California. Devastated, she searched for divers who could help her, and came across Michael Pelley, better known as “Merman Mike,” who is famous for documenting his journeys retrieving people’s lost belongings underwater. “It’s very sentimental to me — we’ve been married for 10 years,” Jennie said in a July 10 video posted to Pelley’s YouTube channel. Pelley dove into the murky green waters, where it was clear just how unclear his view"
8495,https://www.texarkanagazette.com/news/2023/jul/20/north-korea-stays-silent-on-its-apparent/,North Korea stays silent on its apparent detention of a US soldier who bolted across the border,shafner;karine jean-pierre;matthew lee;zeke miller;otto warmbier;travis king;scott bauer;charles jenkins|white house;korean embassy;university of north korean;associated press;armored division,7E8A49BBA5EE927462A3689D54C9C43C,https://wehco.media.clients.ellingtoncms.com/imports/adg/photos/204861311_204861311-35b2e0c412174c939602b9f64bd231bb_t600.jpg?4326734cdb8e39baa3579048ef63ad7b451e7676,"SEOUL, South Korea -- North Korea stayed silent Wednesday about the detention of an American soldier who sprinted across the Koreas' heavily fortified border as members of his tour group looked on in shock."
